Namespace(n_epochs=100, batch_size=64, lr=5e-05, n_cpu=8, latent_dim=100, img_size=28, channels=1, n_critic=5, clip_value=0.01, sample_interval=3000)
[Epoch 0/100] [Batch 640/938] [D loss: -1.495123] [G loss: -17.216269]
[Epoch 0/100] [Batch 645/938] [D loss: -1.427361] [G loss: -17.342457]
[Epoch 0/100] [Batch 650/938] [D loss: -1.179720] [G loss: -17.089466]
[Epoch 0/100] [Batch 655/938] [D loss: -1.231045] [G loss: -16.965565]
[Epoch 0/100] [Batch 660/938] [D loss: -1.357466] [G loss: -17.165916]
[Epoch 0/100] [Batch 665/938] [D loss: -1.114904] [G loss: -17.094381]
[Epoch 0/100] [Batch 670/938] [D loss: -1.392759] [G loss: -16.888981]
[Epoch 0/100] [Batch 675/938] [D loss: -0.832872] [G loss: -16.998676]
[Epoch 0/100] [Batch 680/938] [D loss: -0.984818] [G loss: -16.886072]
[Epoch 0/100] [Batch 685/938] [D loss: -0.980915] [G loss: -16.861242]
[Epoch 0/100] [Batch 690/938] [D loss: -1.046305] [G loss: -16.735777]
[Epoch 0/100] [Batch 695/938] [D loss: -1.504366] [G loss: -16.511627]
[Epoch 0/100] [Batch 700/938] [D loss: -0.829309] [G loss: -16.696560]
[Epoch 0/100] [Batch 705/938] [D loss: -1.119286] [G loss: -16.474403]
[Epoch 0/100] [Batch 710/938] [D loss: -1.636429] [G loss: -16.525049]
[Epoch 0/100] [Batch 715/938] [D loss: -1.014536] [G loss: -16.586063]
[Epoch 0/100] [Batch 720/938] [D loss: -0.954556] [G loss: -16.374718]
[Epoch 0/100] [Batch 725/938] [D loss: -1.046150] [G loss: -16.436865]
[Epoch 0/100] [Batch 730/938] [D loss: -1.135595] [G loss: -16.389938]
[Epoch 0/100] [Batch 735/938] [D loss: -1.139143] [G loss: -16.298737]
[Epoch 0/100] [Batch 740/938] [D loss: -1.315163] [G loss: -16.332037]
[Epoch 0/100] [Batch 745/938] [D loss: -1.064159] [G loss: -16.280321]
[Epoch 0/100] [Batch 750/938] [D loss: -1.020866] [G loss: -16.218067]
[Epoch 0/100] [Batch 755/938] [D loss: -0.919575] [G loss: -16.206617]
[Epoch 0/100] [Batch 760/938] [D loss: -1.024567] [G loss: -16.124054]
[Epoch 0/100] [Batch 765/938] [D loss: -1.124907] [G loss: -15.926805]
[Epoch 0/100] [Batch 770/938] [D loss: -1.070913] [G loss: -15.958719]
[Epoch 0/100] [Batch 775/938] [D loss: -0.845737] [G loss: -15.975671]
[Epoch 0/100] [Batch 780/938] [D loss: -1.015235] [G loss: -15.882302]
[Epoch 0/100] [Batch 785/938] [D loss: -1.131418] [G loss: -15.797958]
[Epoch 0/100] [Batch 790/938] [D loss: -1.006514] [G loss: -15.740626]
[Epoch 0/100] [Batch 795/938] [D loss: -0.953235] [G loss: -15.691490]
[Epoch 0/100] [Batch 800/938] [D loss: -1.076368] [G loss: -15.630273]
[Epoch 0/100] [Batch 805/938] [D loss: -0.927435] [G loss: -15.682000]
[Epoch 0/100] [Batch 810/938] [D loss: -0.978034] [G loss: -15.599168]
[Epoch 0/100] [Batch 815/938] [D loss: -1.042115] [G loss: -15.566384]
[Epoch 0/100] [Batch 820/938] [D loss: -0.926638] [G loss: -15.396400]
[Epoch 0/100] [Batch 825/938] [D loss: -0.974337] [G loss: -15.402320]
[Epoch 0/100] [Batch 830/938] [D loss: -0.963031] [G loss: -15.341203]
[Epoch 0/100] [Batch 835/938] [D loss: -0.842440] [G loss: -15.363142]
[Epoch 0/100] [Batch 840/938] [D loss: -1.086608] [G loss: -15.278669]
[Epoch 0/100] [Batch 845/938] [D loss: -0.715897] [G loss: -15.166150]
[Epoch 0/100] [Batch 850/938] [D loss: -0.683426] [G loss: -15.219420]
[Epoch 0/100] [Batch 855/938] [D loss: -1.313382] [G loss: -15.059473]
[Epoch 0/100] [Batch 860/938] [D loss: -0.912300] [G loss: -15.164451]
[Epoch 0/100] [Batch 865/938] [D loss: -0.745853] [G loss: -15.108739]
[Epoch 0/100] [Batch 870/938] [D loss: -0.823562] [G loss: -15.104008]
[Epoch 0/100] [Batch 875/938] [D loss: -0.636727] [G loss: -15.049621]
[Epoch 0/100] [Batch 880/938] [D loss: -0.769605] [G loss: -14.993674]
[Epoch 0/100] [Batch 885/938] [D loss: -0.641864] [G loss: -14.924580]
[Epoch 0/100] [Batch 890/938] [D loss: -0.976128] [G loss: -14.914018]
[Epoch 0/100] [Batch 895/938] [D loss: -0.958175] [G loss: -14.928448]
[Epoch 0/100] [Batch 900/938] [D loss: -0.893068] [G loss: -14.847158]
